Policy Number,Quote Date,Quote Ref,Policy start date,Line of Business,Underwriter,Premium amount,Policy status,Last renewal date,Payment Method,Business source,Account number,Sort code,Cancel Date,Declared accident,Conviction,Title,First name,Surname,Gender,Address Postcode,Email,Phone,Voluntary Excess,Compulsory Excess,Occupation,NCB,Licence Years,Email Domain,Marital status ,Véhicule registration ,Make ,Model,Class of use,Cover type,Purchase Date,Storage,Vehicle value ,Date of Birth 
A21651106,23/12/2025,Q730128,16/06/2025,Commercial,Zurich,327.69,Cancelled,null,Monthly,Broker,59738523,49766,null,No,null,Ms,Michael,Walker,Female,"37 Glasgow Road, L90 1XX",michael.walker@hotmail.com,7900094124,500,200,Personla Trainer,12,19,Yahoo.com,Widowed,CP18XZB,Mercedez,C Class,Social & Commuting,Comprehensive,30/01/2015,Car Park,22431,09/03/2002
A39371254,10/04/2025,Q924035,25/02/2024,Private,Direct Line,1889.32,Pending,null,Monthly,Aggregator,94771203,94451,null,null,NO,Mx,David,Evans,Male,"59 London Road, G98 6XX",david.evans@gmail.com,7677840630,100,50,Personla Trainer,13,7,Yahoo.com,Marriage,LD15YYB,Volkwagen,Polo,Commercial,Third Party only,01/02/2015,Garage,25478,21/05/1970
Q42081509,Invalid Date,Q276926,13/03/2025,Commercial,Markerstudy Insurance,1089.14,Pending,null,Credit Card,Direct,14666952,10175,null,null,NO,Mr,Mia,Johnson,Male,"100 Manchester Road, G48 9XX",mia.johnson@yahoo.com,7811267265,250,200,Doctor,15,0,Gmail.com,Single,MP19VZB,Mercedez,C Class,Business use,Third Party only,16/01/2023,Car Park,9395,21/04/1999
A73570093,05/07/2025,Q561933,15/08/2025,Private,Allianz,782,Pending,11/10/2023,Credit Card,Aggregator,61935955,27749,null,No,NO,Dr,Charles,white ,Male,"91 Glasgow Road, B19 9XX",charles.white@hotmail.com,7594132427,250,50,Teacher,7,4,gmail.com,Divorced,LD20XZZ,Audi,Q5,Social only,Third Party fire,14/12/2015,Driveway,10036,09/03/1983
Mf31187880,06/02/2024,Q396932,12/05/2025,Private,Tradex insurance,1184.71,Cancelled,null,paid in full,Comparison Site,93790133,38245,null,YES,No,Ms,Mark,Thompson,Other,"8 Liverpool Road, B17 4XX",mark.thompson@yahoo.com,7213450922,500,200,Retired,1,6,Hotmail.com,Marriage,LD22YAB,Ford,Fiesta,Social only,Third Party fire,17/05/2017,Street,23824,07/03/1979
P23232673,16/02/2024,Q319003,null,Commercial,Zurich,1981.76,Suspended,null,Direct debit,Aggregator,31771017,47082,14/03/2025,NO,NO,Miss,Harper,North,Male,"70 Liverpool Road, L59 6XX",harper.north@yahoo.com,7211853172,250,100,Personla Trainer,13,18,Yahoo.com,Single,MP11VYC,Toyota,Yaris,Business use,Third Party fire,31/12/2021,Driveway,41066,28/03/1986
H95629601,13/05/2025,Q757501,28/11/2024,Private,Markerstudy Insurance,1843.28,Suspended,null,Credit Card,Aggregator,14870099,69384,null,No,null,Mx,Robert,Davies,Female,"58 Bristol Road, B99 4XX",robert.davies@gmail.com,7749613531,250,0,Nurse,4,1,gmail.com,Divorced,MA20YZZ,Volkswagen,Golf,Social & Commuting,Third Party fire,22/09/2015,Driveway,30905,22/09/2004
P13469623,28/12/2024,Q450017,Invalid Date,Commercial,Zurich,1702.68,Pending,null,Cheque,Direct,35480468,51851,null,No,No,Mr,Emily,brown ,Other,"84 Glasgow Road, B35 3XX",emily.brown@yahoo.com,7851500343,100,100,Personla Trainer,12,12,Yahoo.com,Living with partner,LP12XYZ,BMW,5 Series,Social only,Comprehensive,25/12/2023,Driveway,14863,13/03/1979
Mf70528474,28/09/2024,Q647240,30/06/2025,Commercial,Zurich,1300.26,lapse,16/06/2023,Monthly,Comparison Site,31805608,86743,11/06/2025,Yes,NO,Dr,Mark,Roberts,Female,"59 Edinburgh Road, G8 5XX",mark.roberts@yahoo.com,7100824494,100,100,Unemployed,9,1,Gmail.com,Widowed,GD19XZZ,BMW,X5,Social only,Third Party fire,18/04/2018,Private Land,34850,11/11/1961
P60938098,02/06/2025,Q639649,07/09/2025,Commercial,Allianz,1473.41,Live,null,paid in full,Direct,45194877,81803,null,YES,null,Mr,David,Wilson,Other,"74 Leeds Road, L2 6XX",david.wilson@yahoo.com,7354732203,0,200,Accountant,4,0,Hotmail.com,Marriage,GA15VYB,Ford,Mondeo,Business use,Third Party fire,17/01/2015,Private Land,39408,08/12/1968
Mf23742522,31/10/2025,Q454503,29/08/2024,Commercial,Tradex insurance,936.14,lapse,null,Direct debit,Aggregator,49286017,69028,06/02/2024,null,null,Dr,Mark,Roberts,Other,"36 Birmingham Road, L69 6XX",mark.roberts@hotmail.com,7848974150,100,0,Accountant,13,2,Hotmail.com,Single,GP15VYZ,Mercedez,A Class,Social only,Comprehensive,28/07/2015,Car Park,45437,25/04/1960
Mf25973769,08/09/2024,Q828563,19/01/2025,Commercial,Direct Line,1567.84,lapse,null,Credit Card,Aggregator,13105673,46958,null,YES,NO,Mrs,William,smith ,Male,"32 Glasgow Road, B65 5XX",william.smith@yahoo.com,7490716184,100,200,Driver,4,18,Gmail.com,Divorced,CD17VAZ,Audi,Q5,Business use,Third Party fire,08/06/2015,Car Park,38880,05/05/1985
P42497495,08/05/2024,Q115202,09/01/2024,Commercial,Allianz,196.6,Suspended,null,Cheque,Direct,38811025,22748,null,YES,NO,Dr,Charles,Jones,Other,"73 Manchester Road, B82 8XX",charles.jones@hotmail.com,7144853902,500,50,Unemployed,13,7,gmail.com,Living with partner,MD11YAZ,BMW,5 Series,Social only,Comprehensive,24/10/2018,Driveway,36232,15/06/1996
Q34806570,15/02/2025,Q592155,06/10/2024,Commercial,Direct Line,303.99,Pending,null,Direct debit,Direct,38216641,84596,null,No,YES,Mr,Emma,White,Female,"78 Liverpool Road, B87 1XX",emma.white@yahoo.com,7904881063,0,0,Teacher,9,11,Hotmail.com,Married,LD17YAC,Ford,Mondeo,Business use,Third Party only,02/10/2016,Driveway,46728,10/10/2004
H33610381,28/08/2024,Q710264,06/12/2025,Private,Zurich,$173.92,lapse,null,Direct debit,Direct,16516268,57893,null,null,YES,Mrs,Thomas,North,Male,"21 London Road, M17 9XX",thomas.north@yahoo.com,7763550616,0,100,Personla Trainer,0,0,Yahoo.com,Living with partner,GA23XYZ,Volkswagen,Golf,Social & Commuting,Third Party only,03/10/2023,Street,13539,11/12/1987
P79663106,26/04/2025,Q521822,14/09/2025,Private,Allianz,858.14,lapse,Invalid Date,Monthly,Broker,34753736,41900,null,Yes,YES,Mx,Robert,Taylor,Male,"49 Manchester Road, B74 6XX",robert.taylor@yahoo.com,7569611863,100,50,IT Consultant,14,15,Yahoo.com,Widowed,MP23VYC,Toyota,Corolla,Business use,Third Party only,20/04/2019,Driveway,40182,27/02/1969
P54070795,22/03/2025,Q484190,01/09/2024,Commercial,AXA,1274.97,Suspended,null,Cheque,Direct,91034736,78919,null,null,No,Mrs,Mia,Wright,Other,"50 Glasgow Road, M99 4XX",mia.wright@gmail.com,7946576678,500,50,Sales Assistant,9,14,Yahoo.com,Marriage,LA14XYC,Volkswagen,Polo,Commercial,Third Party only,22/11/2015,Garage,34932,25/10/1968
A25055659,21/10/2024,Q345897,22/01/2025,Private,Allianz,946.57,Pending,null,Cheque,Broker,54870227,20129,31/01/2025,YES,No,Miss,David,Robinson,Other,"26 Birmingham Road, M70 9XX",david.robinson@yahoo.com,7513753993,250,200,Sales Assistant,12,18,Hotmail.com,Married,LA24VYB,Ford,Focus,Business use,Comprehensive,13/08/2021,Private Land,38995,21/01/1975
Q93281650,29/05/2024,Q381902,27/04/2024,Private,Allianz,782.25,Suspended,null,paid in full,Comparison Site,70453944,96243,null,null,NO,Miss,Olivia,Wood,Male,"45 Manchester Road, B2 4XX",olivia.wood@yahoo.com,7646795237,100,100,Driver,3,18,Hotmail.com,Widowed,GP20VAB,Audi,A4,Social only,Third Party fire,02/08/2017,Car Park,32813,04/12/1980
Q78744215,31/08/2024,Q830053,02/04/2024,Commercial,Aviva,1069.18,lapse,18/04/2023,paid in full,Comparison Site,68305536,27912,null,No,Yes,Ms,David,Robinson,Female,"79 Bristol Road, M86 3XX",david.robinson@yahoo.com,7596742461,250,200,Personla Trainer,3,17,Gmail.com,Marriage,LD20YYC,Ford,Mondeo,Business use,Comprehensive,07/05/2022,Private Land,44652,09/07/1970
H41200987,08/01/2025,Q222114,10/01/2025,Commercial,AXA,379.61,Cancelled,null,Credit Card,Direct,46767485,52975,null,NO,NO,Miss,Harper,Evans,Male,"93 Birmingham Road, G90 1XX",harper.evans@hotmail.com,7623701217,100,50,Retired,5,6,Hotmail.com,Married,GA16XYB,Mercedes,C Class,Business use,Third Party fire,14/09/2018,Private Land,41130,24/03/1972
A21881934,29/04/2025,Q126051,09/12/2024,Commercial,Allianz,1028.74,Live,22/06/2023,paid in full,Direct,23175898,43822,null,NO,NO,Ms,Robert,White,Male,"54 Liverpool Road, L66 1XX",robert.white@gmail.com,7771599294,100,50,IT Consultant,11,12,gmail.com,Living with partner,LP25XZB,Ford,Mondeo,Business use,Third Party fire,15/08/2023,Street,25708,13/12/1987
A48426306,03/07/2025,Q807499,07/09/2025,Commercial,Markerstudy Insurance,808.03,Cancelled,null,paid in full,Comparison Site,67887237,61160,12/05/2025,Yes,null,Dr,Michael,Hall,Female,"84 Liverpool Road, B92 2XX",michael.hall@hotmail.com,7894575972,0,100,IT Consultant,5,8,Yahoo.com,Living with partner,MA23XYZ,Mercedez,C Class,Social & Commuting,Comprehensive,19/09/2020,Garage,5153,01/09/1993
P42497495,08/05/2024,Q115202,09/01/2024,Commercial,Allianz,196.6,Suspended,null,Cheque,Direct,38811025,22748,null,YES,NO,Dr,Charles,Jones,Other,"73 Manchester Road, B82 8XX",charles.jones@hotmail.com,7144853902,500,50,Unemployed,13,7,gmail.com,Living with partner,MD11YAZ,BMW,5 Series,Social only,Comprehensive,24/10/2018,Driveway,36232,15/06/1996
H14224020,31/08/2024,Q827530,01/08/2024,Commercial,Aviva,1089.68,Suspended,28/03/2024,paid in full,Aggregator,38774936,16786,null,YES,YES,Ms,Emma,Robinson,Other,"4 Glasgow Road, M41 4XX",emma.robinson@hotmail.com,7346473556,100,50,Accountant,1,7,Gmail.com,Divorced,CA14YZC,Ford,Fiesta,Business use,Comprehensive,21/03/2023,Garage,42716,29/04/2002
A20664242,30/05/2025,Q600790,20/12/2024,Commercial,Markerstudy Insurance,1438.95,Cancelled,01/04/2024,paid in full,Direct,67087800,59296,Invalid Date,YES,null,Mr,James,Wilson,Other,"65 Bristol Road, M74 3XX",james.wilson@gmail.com,7818989520,250,50,Teacher,14,18,Gmail.com,Single,MD10XZC,Audi,A3,Social only,Comprehensive,19/08/2022,Private Land,31456,20/07/1996
Q58103129,15/09/2024,Q907683,06/06/2025,Private,Aviva,1392.27,Cancelled,null,Credit Card,Broker,81562309,26008,null,YES,No,Mr,Emma,Walker,Male,"72 London Road, L42 1XX",emma.walker@yahoo.com,7920727246,100,0,Unemployed,2,11,Gmail.com,Married,LA14YAZ,Ford,Focus,Commercial,Third Party fire,19/08/2021,Private Land,32197,31/01/2003
A44097151,17/07/2024,Q905616,02/12/2024,Private,Tradex insurance,1724.96,lapse,null,Credit Card,Broker,87893378,72280,null,YES,NO,Miss,Amelia,Johnson,Male,"67 Edinburgh Road, G62 8XX",amelia.johnson@gmail.com,7222941311,100,0,Personal Trainer,6,10,Gmail.com,Widowed,MD17YAZ,Mercedes,E Class,Business use,Third Party fire,04/08/2022,Garage,34150,06/09/1973
P23953267,04/12/2024,Q336588,null,Private,Allianz,401.63,Suspended,16/04/2023,paid in full,Broker,23096137,27092,null,Yes,No,Mr,James,Stick,Other,"51 Edinburgh Road, M46 7XX",james.stick@gmail.com,7154288743,500,200,Nurse,6,1,Gmail.com,Marriage,LA17XYZ,Volkwagen,Polo,Social & Commuting,Third Party only,11/11/2023,Driveway,44184,15/12/1961
Mf51666752,16/11/2025,Q296834,12/09/2024,Commercial,Allianz,285.1,lapse,null,Monthly,Comparison Site,78396542,24749,null,No,YES,Mr,Mia,Brown,Other,"96 Edinburgh Road, M96 4XX",mia.brown@gmail.com,7322379124,500,100,Engineer,13,4,Gmail.com,Divorced,MD10YAZ,BMW,X5,Social & Commuting,Third Party fire,18/05/2015,Car Park,10148,07/05/1972
P26628326,20/08/2024,Q405732,28/07/2025,Commercial,Allianz,425.87,lapse,null,Direct debit,Broker,20008289,32914,24/10/2025,null,NO,Miss,Sarah,Williams,Female,"17 Manchester Road, B17 7XX",sarah.williams@hotmail.com,7647629296,500,50,Teacher,12,0,gmail.com,Widowed,CP16VYB,BMW,5 Series,Business use,Third Party fire,04/06/2021,Private Land,20610,18/03/1989
P24835023,30/11/2024,Q846094,12/10/2025,Commercial,Tradex insurance,605.39,Cancelled,null,Cheque,Broker,17342374,18838,null,NO,Yes,Mx,Katie,Wilson,Male,"42 Manchester Road, M97 3XX",katie.wilson@gmail.com,7573696042,500,50,Retired,11,19,Yahoo.com,Single,MD24VZZ,Mercedez,C Class,Social only,Comprehensive,27/01/2015,Garage,19419,20/11/1984
Mf27272365,30/08/2025,Q889967,20/12/2024,Commercial,Tradex insurance,723.73,Cancelled,13/02/2023,Cheque,Aggregator,71218655,35762,29/03/2025,No,null,Mr,Charles,Walker,Male,"83 Edinburgh Road, L48 1XX",charles.walker@gmail.com,7379686159,100,50,Manager,12,4,Hotmail.com,Married,GA12YAZ,BMW,5 Series,Commercial,Third Party only,25/04/2020,Private Land,32542,21/12/1996
Mf51851721,03/12/2025,Q928970,null,Private,AXA,468.09,Live,null,Cheque,Direct,51972834,28426,null,Yes,null,Dr,William,Williams,Other,"97 Glasgow Road, L81 5XX",william.williams@yahoo.com,7206814572,250,0,Manager,11,19,Yahoo.com,Married,CP19YYZ,Toyota,Corolla,Business use,Third Party only,02/12/2017,Private Land,39091,10/01/1987
Mf82476606,30/07/2024,Q416934,08/02/2025,Commercial,Allianz,1230.68,lapse,null,Cheque,Broker,73413571,13905,null,null,YES,Mrs,Sophia,Roberts,Male,"75 Birmingham Road, L55 9XX",sophia.roberts@yahoo.com,7377612404,500,0,Sales Assistant,7,19,Yahoo.com,Widowed,CA16XZC,Ford,Focus,Business use,Comprehensive,12/07/2020,Garage,29317,21/01/1983
Mf62835722,13/06/2025,Q999789,02/05/2024,Commercial,AXA,238.73,Cancelled,null,Monthly,Broker,81843633,76246,null,Yes,YES,Mr,Sophia,Wood,Other,"63 Edinburgh Road, M74 2XX",sophia.wood@yahoo.com,7550565150,0,100,IT Consultant,5,1,gmail.com,Living with partner,CA14YYC,Toyota,RAV4,Social & Commuting,Third Party only,30/10/2016,Private Land,33259,18/11/1979
H60462092,null,Q159380,05/08/2025,Private,Allianz,823.33,lapse,null,Monthly,Aggregator,82656866,55175,null,null,Yes,Ms,John,Thompson,Male,"66 Birmingham Road, L42 5XX",john.thompson@hotmail.com,7802728000,0,0,IT Consultant,7,19,gmail.com,Divorced,CP13YZB,Volkswagen,Passat,Commercial,Third Party fire,Invalid Date,Street,45443,10/09/1983
A18204090,28/07/2024,Q160316,22/12/2025,Private,Allianz,1324.09,Suspended,26/06/2023,Monthly,Broker,37986026,62536,null,Yes,NO,Dr,James,Stick,Female,"40 Leeds Road, M52 3XX",james.stick@hotmail.com,7358682407,250,100,Personla Trainer,10,16,Hotmail.com,Married,GA11VYZ,Mercedez,A Class,Business use,Comprehensive,01/10/2020,Street,26925,08/01/1998
P99164799,30/01/2025,Q759979,01/11/2024,Private,Markerstudy Insurance,1932.89,Live,Invalid Date,Monthly,Broker,58195127,46409,null,No,NO,Ms,Mia,Brown,Female,"2 Liverpool Road, M9 9XX",mia.brown@gmail.com,7196741264,100,200,Personla Trainer,10,14,gmail.com,Divorced,GP22YZZ,Mercedes,A Class,Social & Commuting,Third Party only,11/12/2017,Street,13268,28/01/1964
H34630703,07/10/2024,Q616664,31/10/2024,Private,AXA,1780.89,lapse,Invalid Date,Monthly,Direct,83118885,43800,null,No,YES,Ms,Emma,Johnson,Other,"14 Edinburgh Road, L95 1XX",emma.johnson@yahoo.com,7581876158,0,100,Doctor,8,7,gmail.com,Marriage,GP25YYZ,Ford,Focus,Business use,Comprehensive,22/03/2018,Street,5292,03/03/1985
Mf83119029,11/09/2024,Q407875,22/08/2024,Private,Direct Line,1105.7,Pending,29/04/2023,Cheque,Aggregator,63193293,41520,null,NO,No,Dr,Katie,White,Female,"29 Birmingham Road, M75 5XX",katie.white@hotmail.com,7257014123,500,200,Personla Trainer,13,12,Yahoo.com,Widowed,LA13VAC,Volkwagen,Golf,Social only,Comprehensive,25/08/2015,Street,29487,12/07/1989
H16704151,04/05/2024,Q360234,19/09/2025,Commercial,Zurich,1434.75,lapse,03/12/2024,Cheque,Comparison Site,44367017,52597,null,No,NO,Miss,Thomas,Taylor,Other,"11 Glasgow Road, L64 5XX",thomas.taylor@yahoo.com,7766881515,500,200,Driver,12,18,Hotmail.com,Divorced,MA18XZB,Volkswagen,Golf,Business use,Third Party only,30/12/2019,Driveway,4408,06/05/1987
A84912247,02/04/2024,Q866644,09/12/2024,Private,Markerstudy Insurance,592.01,Cancelled,null,paid in full,Direct,53697941,94951,18/05/2024,YES,Yes,Mrs,Olivia,Green,Male,"84 Liverpool Road, M87 4XX",olivia.green@yahoo.com,7158093867,500,50,IT Consultant,9,18,Yahoo.com,Widowed,CP23YYZ,Audi,A4,Commercial,Comprehensive,04/06/2023,Private Land,14695,07/11/1982
A73725739,17/11/2025,Q468769,06/12/2025,Commercial,AXA,680.13,Live,Invalid Date,paid in full,Comparison Site,41459986,73336,null,YES,No,Dr,William,Hall,Other,"2 Birmingham Road, G53 1XX",william.hall@hotmail.com,7410406154,500,0,Accountant,9,0,Gmail.com,Married,CD16YAZ,Mercedes,E Class,Social only,Third Party only,12/05/2017,Private Land,13524,16/12/1987
A63163340,07/12/2025,Q923300,08/08/2024,Commercial,Markerstudy Insurance,1336.21,Live,11/08/2024,paid in full,Aggregator,47409833,54019,null,No,YES,Dr,William,White,Female,"71 Glasgow Road, G73 4XX",william.white@gmail.com,7453832158,0,0,Engineer,9,15,Hotmail.com,Divorced,LP21YAB,Audi,A4,Commercial,Comprehensive,07/01/2020,Driveway,20562,20/11/1963
P62923962,13/03/2024,Q156963,01/08/2025,Private,Allianz,1144.62,Suspended,null,Cheque,Aggregator,51517360,93150,null,Yes,NO,Ms,Thomas,North,Male,"79 Edinburgh Road, B78 6XX",thomas.north@yahoo.com,7150671543,500,200,Retired,8,8,Gmail.com,Divorced,LP20XAZ,Toyota,Yaris,Commercial,Third Party only,23/06/2015,Driveway,44699,21/11/1960
Mf80910944,28/04/2025,Q485987,25/10/2024,Private,Tradex insurance,1600.71,lapse,null,Monthly,Broker,81761971,93369,null,YES,null,Mr,Olivia,Thompson,Male,"78 Edinburgh Road, L33 7XX",olivia.thompson@gmail.com,7776824756,0,100,Nurse,5,16,gmail.com,Widowed,CA16YYB,BMW,5 Series,Social only,Third Party only,22/11/2015,Car Park,19390,12/11/1987
Mf29421318,09/10/2024,Q637813,25/12/2025,Commercial,Direct Line,1111.09,Pending,null,Cheque,Broker,57760108,45841,null,YES,NO,Mrs,Mia,green ,Other,"90 Glasgow Road, L8 8XX",mia.green@hotmail.com,7825023931,100,200,Driver,8,15,Gmail.com,Living with partner,CD13XZB,BMW,X5,Business use,Third Party only,29/07/2017,Garage,3761,25/03/1990
Mf36311399,11/11/2025,Q583217,28/06/2024,Commercial,Zurich,1483.83,Live,null,Direct debit,Direct,85799941,49249,null,YES,null,Mx,Amelia,Robinson,Male,"7 London Road, L46 5XX",amelia.robinson@hotmail.com,7182173369,250,100,Personla Trainer,5,17,Hotmail.com,Single,LP17XZC,Volkswagen,Polo,Business use,Third Party only,09/07/2015,Car Park,17705,26/12/1986
A75036950,10/01/2025,Q598808,30/04/2025,Commercial,Tradex insurance,1117.37,lapse,12/06/2024,Credit Card,Direct,83104195,51618,null,YES,Yes,Mr,Olivia,Stick,Other,"8 Manchester Road, M31 1XX",olivia.stick@yahoo.com,7344277484,100,0,IT Consultant,11,9,Gmail.com,Married,CD18XYB,Mercedes,A Class,Commercial,Comprehensive,27/02/2021,Car Park,20758,06/08/1982
P74238792,15/04/2024,Q901146,28/12/2025,Private,Markerstudy Insurance,248.85,Live,22/01/2023,Cheque,Direct,75934253,72118,01/08/2024,Yes,No,Mrs,James,Green,Other,"30 London Road, B65 8XX",james.green@yahoo.com,7391327676,250,100,Doctor,8,12,Hotmail.com,Single,LA10XYB,Audi,A3,Social & Commuting,Third Party only,13/12/2019,Street,2512,12/08/1971
P65237422,17/06/2024,Q116687,30/08/2024,Commercial,Markerstudy Insurance,1731.45,Live,22/12/2024,Direct debit,Broker,80333501,45143,null,Yes,YES,Mrs,Katie,Wright,Other,"40 Birmingham Road, G83 6XX",katie.wright@gmail.com,7487808950,250,200,Personal Trainer,2,5,Gmail.com,Married,LP15XZZ,BMW,3 Series,Social & Commuting,Third Party fire,10/10/2017,Driveway,17870,23/07/1996
Q75689989,11/11/2024,Q697396,08/12/2025,Commercial,Tradex insurance,751.87,lapse,null,Credit Card,Broker,54823821,64819,02/02/2025,Yes,Yes,Ms,Sarah,Evans,Female,"14 Manchester Road, B76 7XX",sarah.evans@gmail.com,7178556305,500,50,Sales Assistant,3,11,Yahoo.com,Widowed,LD13XAB,Mercedes,E Class,Commercial,Third Party fire,18/05/2021,Private Land,40900,18/05/1965
H95774652,11/01/2024,Q221225,01/10/2024,Private,AXA,1099.68 USD,Cancelled,null,Monthly,Direct,33128028,18690,null,NO,No,Mx,Emma,North,Female,"65 Manchester Road, B93 5XX",emma.north@yahoo.com,7817319911,250,100,Personal Trainer,13,10,Yahoo.com,Married,MP25YAC,Mercedes,C Class,Business use,Third Party fire,23/01/2020,Driveway,6217,14/09/1971
P97698879,02/05/2025,Q693116,31/10/2025,Commercial,Direct Line,1368.84,Cancelled,15/05/2023,Credit Card,Comparison Site,18576027,50970,null,NO,YES,Dr,Joseph,Thompson,Male,"43 Manchester Road, L92 1XX",joseph.thompson@yahoo.com,7417690080,500,200,IT Consultant,1,9,Hotmail.com,Married,LA18XZZ,Mercedez,A Class,Business use,Comprehensive,07/05/2018,Private Land,48714,04/11/1962
Mf34679816,11/11/2024,Q342143,27/08/2025,Private,Zurich,null,lapse,null,Monthly,Comparison Site,77628184,37027,08/05/2024,null,Yes,Mrs,Mark,Davies,Female,"43 Liverpool Road, M14 6XX",mark.davies@gmail.com,7834923140,100,50,Sales Assistant,1,13,Hotmail.com,Single,CP15VAZ,Volkswagen,Golf,Social & Commuting,Third Party only,20/11/2022,Car Park,1827,27/04/1989
P59162290,21/03/2025,Q796143,25/12/2024,Private,Tradex insurance,565.44,Cancelled,null,paid in full,Aggregator,65973441,57744,null,null,YES,Mx,Olivia,Johnson,Male,"79 Birmingham Road, M35 1XX",olivia.johnson@yahoo.com,7997749860,500,200,Engineer,1,4,Hotmail.com,Single,CD10VAZ,BMW,5 Series,Social & Commuting,Comprehensive,28/05/2019,Driveway,31357,Invalid Date
P11777742,22/03/2025,Q857128,04/10/2025,Commercial,AXA,1368,Cancelled,08/06/2023,Credit Card,Comparison Site,27354216,79615,null,Yes,YES,Mr,Robert,Wood,Female,"39 Glasgow Road, L92 1XX",robert.wood@hotmail.com,7656568777,500,0,Manager,2,4,Hotmail.com,Married,MA14VZC,Ford,Focus,Business use,Third Party only,null,Car Park,32040,18/06/2000
Q20976019,29/10/2025,Q443077,02/10/2024,Commercial,Markerstudy Insurance,1992.24,Live,null,Direct debit,Direct,96974722,21034,null,NO,NO,Dr,Amelia,North,Other,"36 Edinburgh Road, L2 5XX",amelia.north@gmail.com,7349315273,0,100,Personal Trainer,5,7,Hotmail.com,Widowed,CA21XYZ,BMW,3 Series,Business use,Third Party fire,17/11/2015,Car Park,22997,25/05/1965
A80029687,13/09/2025,Q102694,30/07/2024,Private,Tradex insurance,390.06,Suspended,14/09/2023,Monthly,Broker,41638409,96914,null,YES,NO,Dr,Joseph,Johnson,Male,"12 Leeds Road, B4 5XX",joseph.johnson@gmail.com,7706361237,100,200,Personla Trainer,15,8,gmail.com,Divorced,GD19XAC,Ford,Focus,Commercial,Third Party only,03/05/2020,Car Park,48832,07/02/2002
H36325340,10/12/2024,Q793341,02/02/2025,Commercial,Allianz,1285.89,Live,null,Cheque,Aggregator,89312115,66442,null,null,null,Dr,Joseph,Roberts,Other,"87 Edinburgh Road, M92 6XX",joseph.roberts@gmail.com,7361088893,500,50,Personla Trainer,11,4,Hotmail.com,Marriage,GA18YZB,Mercedes,A Class,Business use,Third Party only,25/11/2020,Car Park,30788,07/01/1997
P63642926,15/05/2024,Q723157,14/03/2025,Commercial,Direct Line,1236.35,Live,null,Cheque,Aggregator,90803098,95030,02/10/2024,NO,Yes,Mr,David,Hall,Female,"66 Glasgow Road, M67 7XX",david.hall@yahoo.com,7186363397,100,0,Sales Assistant,13,10,gmail.com,Living with partner,LA15YAB,Volkwagen,Polo,Social only,Third Party only,28/11/2015,Private Land,17817,19/09/2001
H83373957,13/10/2024,Q616654,15/04/2024,Private,Markerstudy Insurance,192.08,lapse,null,Direct debit,Comparison Site,59494305,36431,null,null,null,Mr,Olivia,Stick,Male,"62 Liverpool Road, M97 7XX",olivia.stick@hotmail.com,7820443733,0,100,Driver,3,6,Yahoo.com,Marriage,CP20VAB,Toyota,RAV4,Business use,Comprehensive,09/02/2017,Private Land,37795,30/06/1971
A39142408,04/09/2025,Q882254,08/03/2025,Commercial,Direct Line,1398.21,Live,null,Cheque,Aggregator,23509500,22417,09/01/2025,Yes,YES,Dr,David,Williams,Male,"100 Leeds Road, L93 3XX",david.williams@hotmail.com,7495583195,100,200,Unemployed,7,8,Hotmail.com,Living with partner,LA17XYB,Mercedes,E Class,Social only,Third Party fire,05/11/2022,Driveway,1585,12/05/1985
Mf57887080,12/09/2025,Q560356,16/04/2025,Commercial,Aviva,1426.16,Cancelled,15/08/2023,Monthly,Broker,41188303,65175,null,Yes,null,Ms,David,Stick,Female,"5 Glasgow Road, G32 2XX",david.stick@hotmail.com,7719317966,100,100,Doctor,0,10,Hotmail.com,Living with partner,LA12VYB,Ford,Mondeo,Social & Commuting,Third Party fire,25/02/2020,Car Park,17339,22/01/2003
Mf63206512,10/08/2025,Q756790,27/11/2024,Commercial,Markerstudy Insurance,325.93,Live,null,Credit Card,Comparison Site,71842032,19283,Invalid Date,Yes,No,Mr,David,Robinson,Male,"18 London Road, M8 6XX",david.robinson@hotmail.com,7376314148,0,0,Student,6,7,Yahoo.com,Widowed,LA23YYZ,Toyota,Corolla,Commercial,Third Party fire,05/09/2015,Driveway,13446,24/10/1984
H30862310,30/03/2025,Q563398,25/07/2025,Private,Markerstudy Insurance,929.47,Live,null,Credit Card,Comparison Site,47898925,43504,null,Yes,Yes,Miss,William,Walker,Other,"49 Birmingham Road, M81 9XX",william.walker@gmail.com,7542284805,0,200,Student,15,8,gmail.com,Single,CP25XZZ,Mercedes,E Class,Social only,Third Party only,24/01/2021,Private Land,7535,24/04/1990
Mf18827504,09/05/2024,Q201523,25/12/2024,Private,AXA,744.62,Suspended,null,Direct debit,Direct,29265919,57906,null,No,YES,Mrs,Amelia,Wood,Male,"36 Edinburgh Road, L39 4XX",amelia.wood@hotmail.com,7343250018,0,50,Manager,5,11,Gmail.com,Single,MD13VAB,Volkwagen,Polo,Commercial,Third Party only,14/02/2015,Garage,12080,26/04/1977
